 100 	 8 	 1.6203e-05
 100 	 82 	 1.7321e-05
 100 	 32 	 1.2851e-05
 100 	 37 	 1.341e-05
 100 	 85 	 1.76e-05
 100 	 88 	 2.654e-05
 100 	 98 	 1.2572e-05
 100 	 49 	 1.2851e-05
 100 	 35 	 1.788e-05
 100 	 4 	 1.3131e-05
 500 	 408 	 4.8332e-05
 500 	 282 	 3.7157e-05
 500 	 232 	 4.4979e-05
 500 	 337 	 3.6877e-05
 500 	 385 	 4.0788e-05
 500 	 88 	 1.7321e-05
 500 	 298 	 3.3804e-05
 500 	 349 	 3.7995e-05
 500 	 35 	 1.3131e-05
 500 	 404 	 4.2465e-05
 1000 	 408 	 5.1404e-05
 1000 	 782 	 0.000101691
 1000 	 732 	 8.3812e-05
 1000 	 337 	 4.1068e-05
 1000 	 385 	 8.5209e-05
 1000 	 88 	 2.1792e-05
 1000 	 298 	 3.7436e-05
 1000 	 849 	 8.2415e-05
 1000 	 35 	 1.7321e-05
 1000 	 904 	 0.000141921
 5000 	 3408 	 0.000404532
 5000 	 3782 	 0.0004009
 5000 	 1732 	 0.000403414
 5000 	 1337 	 0.000125717
 5000 	 4385 	 0.000420177
 5000 	 1088 	 0.000101971
 5000 	 4298 	 0.000404811
 5000 	 3849 	 0.000448394
 5000 	 3035 	 0.000404532
 5000 	 904 	 8.7164e-05
 10000 	 8408 	 0.000823591
 10000 	 3782 	 0.000383579
 10000 	 1732 	 0.000811298
 10000 	 6337 	 0.000566289
 10000 	 4385 	 0.000804594
 10000 	 1088 	 0.000104486
 10000 	 9298 	 0.000757659
 10000 	 8849 	 0.000857954
 10000 	 3035 	 0.000788948
 10000 	 904 	 0.000789787
 50000 	 16728 	 0.006674775
 50000 	 9002 	 0.004898522
 50000 	 40485 	 0.004112088
 50000 	 37358 	 0.005029828
 50000 	 3601 	 0.004982056
 50000 	 43150 	 0.004871703
 50000 	 2970 	 0.00039671
 50000 	 1188 	 0.00015142
 50000 	 3882 	 0.000453981
 50000 	 8080 	 0.004066551
 100000 	 16728 	 0.008650221
 100000 	 59002 	 0.00820965
 100000 	 90485 	 0.008087843
 100000 	 37358 	 0.008283404
 100000 	 3601 	 0.000410119
 100000 	 43150 	 0.008147629
 100000 	 52970 	 0.008157128
 100000 	 51188 	 0.004260156
 100000 	 53882 	 0.004806888
 100000 	 58080 	 0.008253791
 500000 	 101935 	 0.008790745
 500000 	 181195 	 0.019832116
 500000 	 128330 	 0.045099152
 500000 	 255823 	 0.045128486
 500000 	 314044 	 0.029246701
 500000 	 138225 	 0.011617438
 500000 	 27654 	 0.00652084
 500000 	 3659 	 0.000566009
 500000 	 368100 	 0.043634679
 500000 	 396769 	 0.036068147
