100 4 6.0344e-06 
500 35 5.2523e-06 
1000 35 5.8109e-06 
5000 904 6.5652e-06 
10000 904 6.5095e-06 
50000 1188 6.3976e-06 
100000 3601 7.8506e-06 
500000 3659 9.2472e-06 
