 100 	 8 	 1.3969e-05
 100 	 82 	 1.4527e-05
 100 	 32 	 2.2629e-05
 100 	 37 	 4.8053e-05
 100 	 85 	 1.0337e-05
 100 	 88 	 1.0616e-05
 100 	 98 	 1.0616e-05
 100 	 49 	 1.0896e-05
 100 	 35 	 1.2851e-05
 100 	 4 	 1.0336e-05
 500 	 408 	 1.5644e-05
 500 	 282 	 1.5645e-05
 500 	 232 	 1.7321e-05
 500 	 337 	 1.6762e-05
 500 	 385 	 1.7042e-05
 500 	 88 	 1.7601e-05
 500 	 298 	 1.6763e-05
 500 	 349 	 1.6204e-05
 500 	 35 	 1.5645e-05
 500 	 404 	 1.6763e-05
 1000 	 408 	 1.8439e-05
 1000 	 782 	 2.2909e-05
 1000 	 732 	 1.0616e-05
 1000 	 337 	 1.0337e-05
 1000 	 385 	 1.0616e-05
 1000 	 88 	 1.1733e-05
 1000 	 298 	 1.2013e-05
 1000 	 849 	 1.7321e-05
 1000 	 35 	 1.0896e-05
 1000 	 904 	 1.1454e-05
 5000 	 3408 	 1.0336e-05
 5000 	 3782 	 1.4806e-05
 5000 	 1732 	 1.3969e-05
 5000 	 1337 	 1.4806e-05
 5000 	 4385 	 1.3689e-05
 5000 	 1088 	 1.6483e-05
 5000 	 4298 	 1.6204e-05
 5000 	 3849 	 2.4306e-05
 5000 	 3035 	 1.3689e-05
 5000 	 904 	 1.4248e-05
 10000 	 8408 	 1.7321e-05
 10000 	 3782 	 1.8997e-05
 10000 	 1732 	 1.4807e-05
 10000 	 6337 	 1.6204e-05
 10000 	 4385 	 1.5087e-05
 10000 	 1088 	 1.3968e-05
 10000 	 9298 	 1.5086e-05
 10000 	 8849 	 1.5086e-05
 10000 	 3035 	 1.6204e-05
 10000 	 904 	 1.4528e-05
 50000 	 16728 	 0.000131585
 50000 	 9002 	 1.9835e-05
 50000 	 40485 	 1.313e-05
 50000 	 37358 	 2.4026e-05
 50000 	 3601 	 1.76e-05
 50000 	 43150 	 1.2013e-05
 50000 	 2970 	 1.2292e-05
 50000 	 1188 	 1.6203e-05
 50000 	 3882 	 1.5645e-05
 50000 	 8080 	 1.5924e-05
 100000 	 16728 	 1.341e-05
 100000 	 59002 	 1.788e-05
 100000 	 90485 	 1.2013e-05
 100000 	 37358 	 1.6204e-05
 100000 	 3601 	 1.7322e-05
 100000 	 43150 	 1.5644e-05
 100000 	 52970 	 7.5431e-05
 100000 	 51188 	 1.4528e-05
 100000 	 53882 	 1.3969e-05
 100000 	 58080 	 1.5366e-05
 500000 	 101935 	 0.000258419
 500000 	 181195 	 0.000291107
 500000 	 128330 	 0.000346981
 500000 	 255823 	 0.000353406
 500000 	 314044 	 0.000366257
 500000 	 138225 	 0.000402017
 500000 	 27654 	 0.000368493
 500000 	 3659 	 0.00036067
 500000 	 368100 	 0.000360112
 500000 	 396769 	 0.000332454
